Question 1: Explain the differences between Conduction and Convection,Score
"Conduction takes place in all states of matter while convection takes places only in fluids. Moreover, conduction is the transfer of thermal energy from one place to another without any flow of the material medium while convection is the transfer of thermal energy by means of convection currents. In addition, conduction is the transfer of heat energy by direct contact while convection is the transfer of heat by actual motion of matter.",2
"Conduction is the transference of heat from a cooler to warmer place or a warmer to cooler place. Convection is the transference of heat through the convection current in a liquid or gas, due to difference in density.",0
"Conduction:

-Transfer of heat between objects through direct contact

-Due to a difference of temperature

Convection:

-Transfer of heat which occurs within a fluid

-Due to a difference in densities",0
"Conduction is the transfer of heat from a warmer region to a colder region.

Convection is the movement of heat from a lower region to a higher region",0
Conduction refers to the transfer of heat without any flow of the material medium while convection refers to the transfer of heat via means of convection currents in a fluid.,0
Conduction is the transfer of heat while convection is the movement of heat.,0
" Conduction is the transfer of thermal energy from one place to another without any flow of the material medium. It may happen in all states of matter. On the other hand, convection is the transfer of thermal energy through convection currents in either a aqueous or gaseous substance due to the difference in density.",1
"In conduction, thermal energy is transferred without any flow of the material medium while in convection thermal energy is transfer by the means of convection currents(movement of fluid medium) in a fluid due to density difference.",1
Conduction is heat transfer through directly from molecules to molecules while convection is heat transfer through movement of molecules.,0
Conduction is the transfer of heat through a solid while convection is also transfer of heat but through a liquid or gas.I,0
Conductionis the transfer of heat energy by direct contact. Convectionis the movement of heat by actual motion of matter.,0
"Convection cannot take place in solids, whereas conduction can take place in all mediums. Convection is the flow of matter to a place that has a high or low temperature, whereas conduction is the vibration of particles in an area.",1
Conduction is the transfer of thermal energy in any medium but convection is the transfer of thermal energy in fluids on only. Convection is the transfer of thermal energy by the means of convection currents but conduction is the transfer of thermal energy using vibration of particles and free electron diffusion.,0
conduction is the transfer of thermal energy from one place to another without any flow of the material medium. convection is the transfer of thermal energy by convection currents in a fluid due to difference in density.,1
"Conduction is the transfer of thermal energy from one place to another place through a medium while convection is the transfer of thermal energy by convection currents. Conduction takes place in solid, liquids and gases but convection only takes place in fluids which are liquids and gases.",1
"CONDUCTION OCCURS IN GASES, LIQUIDS AND SOLIDS WHILE CONVECTION OCCURS IN ONLY GASES AND LIQUIDS.

conductionis the transfer of heat energy by direct contact,convectionis the movement of heat by actual motion of matter

CONDUCTION OCCURS DUE TO TEMPERATURE DIFFERENCE WHILE CONVECTION OCCURS DUE TO DENSITY DIFFERENCE",1
"Conduction is a process of heat transfer through a medium without transport of mass, while convection is a transfer of heat done by circulating or moving of the warm particles to a cooler space.",0
"Conduction is the transfer of energy by direct contact.

Convection is a processby which heat is transferred by movement of a heated fluid such as air or water.",0
Conduction can occur in all states of matter as via direct molecular collision whereas convection can only occur in the states of gas and liquid where heat is transferred due to differences in density and direction of current flow.,1
Convection occurs in fluids such as gases and liquids when the hotter part of the fluid expands and rises as its density is reduced while the cooler part of the fluid sinks as its density is higher then the hotter part and the cycle continues. While conduction is the process by which heat is directly transmitted through the material of a substance when there is a difference of temperature .,0
"Conduction occurs in solid, liquid and gases through the transfer of kinetic energy of atoms, whereas convection only takes place in liquids and gases, which takes place due to the difference in densities of the liquid or gas.",1
Conduction is the heat transfer between matters by contact while convection is when the colder air sinks and gain heat and rises and the cooler air above will take its place and move down.,0
"Conduction only occurs in solids, while convection only occurs in fluids. Conduction refers to the transfer of heat in a medium, while convection refers to transfer of heat in a convection current, due to the difference in density.",0
"Conduction is usually applicable to solids while convection cannot take place in solids at all. In conduction, the collisions of vibrating atoms with neighbouring atoms causes vibrations to be transferred to the entire solid while convection is mainly through matter directly.





",0
Conduction is where heat moves from a hotter area to a cooler area on any material or state while convection is where heat in the air moves upwards due to its lower density while letting cooler air move downwards.,0
"Conduction takes place in solids, liquids and gases but convection takes place only in liquids and gases.

Conduction involves the transfer of thermal energy from one place to another without any flow of the material medium but convection is the transfer of thermal energy by means of convection currents.",1
Conduction can be through all states of matter but convection cannot occur in solids.,1
Conduction is the transfer of heat energy by direct contact while convectionis the movement of heat by actual motion of matter.,0
Conduction occurs by vibration of particles while convection occurs by flow of particles due to density change. Conduction can occur in all states while convection cannot occur in solids as the particles are held in fixed positions.,2
"Conduction is heat transferred through a medium by vibrating particles that transfer the heat by knocking into one another or in metals, the conduction can also be carried out by the free electrons in the metal. However, for convection, it uses convection currents to transfer heat , hence it will not be able to transfer heat in solids unlike conduction",0
Conduction is the transfer of thermal energy from one place to another without any flow of the material medium while convection is the transfer of thermal energy by means of convection currents in a fluid due to difference in density.,0
